0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
77.1157894737;82.9684210526;76.4710526316;77.8368421053;73.5973684211;86.4421052632;71.15;67.1236842105;72.8736842105;82.1052631579;81.6052631579;80.2552631579;80.8315789474;82.6342105263;78.5473684211;76.7657894737;73.6289473684;68.7236842105;79.7368421053;78.8684210526;80.9552631579;67.4131578947;84.1605263158;75.6473684211;76.0394736842
80.5748336261;87.6650792231;80.5686724529;79.8525982043;75.4655069059;87.3667824018;72.5540392369;68.8946748054;74.5476047362;83.0991998262;81.7708555413;80.7590230776;80.9096442448;82.4176913388;78.3160269774;76.1337951427;72.1094510319;67.7632973004;79.0689684877;77.0068603427;78.8486077079;65.4328217804;80.4852886892;71.3188962201;74.5592807317
82.5473684211;94.9366111176;87.0772517071;84.8962168988;75.1810698764;88.0370803848;74.2397907479;73.6401569394;79.6851743702;86.4101833752;82.1307721731;82.2046889511;80.9061848928;80.8179463278;76.8082336415;71.3212164468;64.0541578025;60.6660132471;76.113440185;64.9729057043;63.2412786524;47.9934874803;56.8836056156;46.4238289063;57.8736842105
82.5473684211;92.2315789474;83.5210526316;80.0052631579;74.9315789474;86.4421052632;74.1;67.9684210526;72.8736842105;82.1052631579;81.6052631579;80.2552631579;80.8315789474;82.6342105263;78.5473684211;76.7657894737;73.6289473684;68.7236842105;79.7078947368;78.8684210526;80.9552631579;54.4342105263;67.35;49.8368421053;57.8736842105
82.5473684211;95.0;86.6631578947;84.3263157895;75.2315789474;83.2421052632;68.1789473684;74.3789473684;72.8842105263;87.3684210526;68.9052631579;83.3473684211;69.1684210526;74.0736842105;64.2526315789;55.4;41.8105263158;49.7052631579;70.2105263158;57.0210526316;50.6;46.1368421053;51.5789473684;41.5789473684;57.8736842105
