0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99
97.980994152;98.0058479532;94.6739766082;93.3347953216;97.0906432749;94.9897660819;98.4459064327;89.6125730994;87.0380116959;96.0789473684;95.432748538;82.8698830409;92.3187134503;96.2763157895;77.9254385965;98.5877192982;98.8918128655;98.2675438596;94.1418128655;93.4429824561;97.3187134503;88.2251461988;88.6578947368;95.019005848;88.2529239766;97.9210526316;97.668128655;87.5394736842;99.399122807;98.0745614035;97.8157894737;95.7763157895;97.6038011696;86.4941520468;77.951754386;80.6213450292;98.2383040936;93.4561403509;96.1944444444;97.9166666667;90.9590643275;94.8391812865;98.1228070175;83.735380117;88.7997076023;97.966374269;89.1111111111;97.3523391813;96.9678362573;89.1461988304;94.9824561404;93.8698830409;96.6798245614;92.899122807;96.2704678363;94.6988304094;97.3625730994;96.3538011696;83.2178362573;95.6359649123;95.4561403509;95.5657894737;97.8625730994;98.6754385965;97.5116959064;94.600877193;78.4546783626;95.0102339181;95.1067251462;93.5014619883;86.6228070175;93.6915204678;93.9751461988;96.9254385965;99.9035087719;94.3201754386;95.1608187135;97.5263157895;75.0365497076;95.3230994152;99.6871345029;86.6388888889;89.9078947368;97.5847953216;88.2192982456;96.3055555556;87.8143274854;97.8435672515;97.3494152047;95.7631578947;84.0555555556;97.5409356725;92.4897660819;95.6242690058;98.3567251462;96.3669590643;98.2090643275;98.2631578947;85.7002923977;86.2295321637
97.9817507921;98.0177171688;94.5430330024;93.2551015413;97.0848722521;94.8640987966;98.44247661;89.3288046541;86.6958289807;96.0275466497;95.2405402685;82.3273641021;92.2088265606;96.1929428945;77.6283760732;98.588498654;98.8743797509;98.2726136179;93.9025033015;93.3224605051;97.3406266116;88.0850571911;88.4187727289;94.9919710644;87.8455237551;97.9142450108;97.6844395578;87.2796377135;99.4247663194;98.0724095323;97.8131738211;95.6459757353;97.5913878748;86.3541271879;77.6006993992;80.3598319011;98.2472457345;93.3894812615;96.1537114403;97.9064305474;90.8832301753;94.7475811312;98.147997834;83.416674138;88.6684198853;97.9464842344;88.9117112587;97.3512735041;96.9340805553;88.682717455;94.9125249858;93.7626924812;96.5760890092;92.73087789;96.2211578266;94.6394196493;97.3332277077;96.2983255574;82.7663914759;95.5559652563;95.3265372316;95.5216363709;97.9037939579;98.6947417958;97.4395633244;94.4439563437;77.842591458;94.9947430017;95.0242424743;93.3178536777;86.3945128787;93.5104780841;93.896006808;96.9307391826;99.9224861365;94.1900489789;95.0796105273;97.5489124659;74.7751374957;95.2655991453;99.7281809073;86.3625537591;89.721951415;97.5621724128;87.9354887871;96.2222843715;87.6896081827;97.828741015;97.3170110503;95.7046701064;83.4881837317;97.4930820817;92.4200736115;95.5637199559;98.3662501458;96.2657403107;98.2217276505;98.2670185701;85.4880613689;85.8476218605
97.5263157895;95.0;85.7894736842;75.8947368421;88.3684210526;94.3157894737;98.1052631579;89.4736842105;59.2631578947;85.3157894737;95.1052631579;84.2105263158;83.2631578947;94.7894736842;42.1052631579;94.7348259909;99.2631578947;97.8143754109;86.1052631579;69.5263157895;87.4210526316;55.2105263158;72.2631578947;76.5263157895;60.6842105263;98.1052631579;88.3684210526;69.6315789474;78.3684210526;95.5263157895;88.3656402261;96.0;97.7368421053;56.8947368421;73.6842105263;43.1052631579;92.2631578947;73.5263157895;86.1052631579;93.3684210526;76.3157894737;82.5789473684;96.5263157895;46.7894736842;78.4736842105;97.7894736842;75.0526315789;88.7894736842;90.2105263158;71.5901798506;84.5789473684;82.3684210526;100.0;77.7368421053;92.9473684211;77.5789473684;93.1052631579;85.0;52.8791257458;99.9207875773;92.5263157895;81.9473684211;85.0;96.1578947368;97.0;84.7368421053;57.8947368421;80.0;88.5263157895;85.8421052632;64.3157894737;89.5789473684;79.5980417273;89.1578947368;96.5263157895;81.2209678831;81.2214896611;87.4210526316;37.8421052632;89.1181945955;88.7368421053;64.3684210526;70.7368421053;97.5789473684;70.7894736842;91.8947368421;70.0;96.8947368421;97.2105263158;82.6315789474;84.2105263158;95.2631578947;75.0526315789;81.2631578947;95.2631578947;86.0;92.0;97.9473684211;47.3684210526;64.2126551725
97.5263157895;95.0;85.7894736842;75.8947368421;88.3684210526;94.3157894737;98.1052631579;89.4736842105;59.2631578947;85.3157894737;95.1052631579;84.2105263158;83.2631578947;94.7894736842;42.1052631579;97.6710526316;99.2631578947;97.8421052632;86.1052631579;69.5263157895;87.4210526316;55.2105263158;72.2631578947;76.5263157895;60.6842105263;98.1052631579;88.3684210526;69.6315789474;78.3684210526;95.5263157895;95.9210526316;96.0;97.7368421053;56.8947368421;73.6842105263;43.1052631579;92.2631578947;73.5263157895;86.1052631579;93.3684210526;76.3157894737;82.5789473684;96.5263157895;46.7894736842;78.4736842105;97.7894736842;75.0526315789;88.7894736842;90.2105263158;88.8552631579;84.5789473684;82.3684210526;100.0;77.7368421053;92.9473684211;77.5789473684;93.1052631579;85.0;82.1973684211;98.4342105263;92.5263157895;81.9473684211;85.0;96.1578947368;97.0;84.7368421053;57.8947368421;80.0;88.5263157895;85.8421052632;64.3157894737;89.5789473684;92.9868421053;89.1578947368;96.5263157895;93.3684210526;93.1710526316;87.4210526316;37.8421052632;94.6052631579;88.7368421053;64.3684210526;70.7368421053;97.5789473684;70.7894736842;91.8947368421;70.0;96.8947368421;97.2105263158;82.6315789474;84.2105263158;95.2631578947;75.0526315789;81.2631578947;95.2631578947;86.0;92.0;97.9473684211;47.3684210526;86.3289473684
99.2631578947;98.2105263158;95.2105263158;91.2631578947;95.2631578947;91.4736842105;97.2105263158;83.8947368421;80.8421052632;94.5263157895;92.3684210526;74.1578947368;90.3157894737;96.0526315789;74.1578947368;97.6315789474;98.9473684211;97.7894736842;91.3684210526;92.5263157895;95.4736842105;87.2105263158;84.1052631579;96.1052631579;79.0526315789;98.1052631579;95.6315789474;81.6842105263;100.0;98.6842105263;95.7894736842;89.9473684211;96.5263157895;79.5263157895;67.0526315789;72.5789473684;97.2631578947;90.4736842105;94.7894736842;98.0526315789;89.3157894737;90.9473684211;97.5789473684;76.3684210526;83.5263157895;96.5789473684;85.3684210526;97.0;97.1052631579;84.6315789474;95.5789473684;87.6842105263;96.2105263158;94.4210526316;98.3684210526;95.5789473684;96.8421052632;96.5789473684;78.0526315789;93.7368421053;94.7368421053;93.3157894737;98.3684210526;98.5789473684;97.1052631579;94.6842105263;72.2631578947;93.3157894737;96.0526315789;93.2105263158;80.2631578947;92.6842105263;95.1578947368;95.1052631579;100.0;93.5263157895;93.7894736842;97.8421052632;69.2105263158;92.3157894737;100.0;82.2105263158;88.5263157895;96.0526315789;79.6315789474;96.0;84.4736842105;95.8421052632;99.2105263158;93.8947368421;75.2631578947;94.5263157895;87.4210526316;91.5789473684;97.6315789474;95.5263157895;97.4736842105;97.3157894737;81.8421052632;81.6315789474
96.7894736842;97.5789473684;87.7894736842;89.7894736842;96.7894736842;91.4736842105;98.6315789474;87.0;80.8421052632;95.5263157895;95.1052631579;78.1578947368;88.4210526316;95.7368421053;69.7894736842;97.6315789474;98.2631578947;97.7894736842;93.0;93.1578947368;96.4210526316;84.2105263158;85.8947368421;96.1052631579;90.0;98.1052631579;98.2631578947;84.2631578947;100.0;98.5789473684;95.7894736842;96.6842105263;95.7368421053;83.4210526316;72.8947368421;72.5789473684;99.2105263158;92.3684210526;95.5789473684;93.3684210526;84.5789473684;90.9473684211;98.8947368421;79.2631578947;86.5263157895;96.5789473684;83.3157894737;98.2631578947;97.1052631579;84.6315789474;95.5789473684;87.6842105263;96.2105263158;90.0;92.0;95.5789473684;96.0526315789;96.5789473684;51.9473684211;93.7368421053;91.1052631579;92.7368421053;97.0526315789;97.0;97.1052631579;94.6842105263;57.8947368421;80.0;94.0;92.0526315789;82.6842105263;92.8421052632;86.0526315789;95.1052631579;100.0;81.0;92.5789473684;97.8421052632;64.1578947368;92.3157894737;100.0;64.3684210526;85.3684210526;96.6315789474;85.4736842105;95.1052631579;86.1578947368;97.8947368421;99.2105263158;93.3684210526;77.0;95.2631578947;86.9473684211;81.2631578947;98.7894736842;95.7368421053;98.1052631579;98.2631578947;81.9473684211;80.1052631579
